Date,Close,Volume,Open,High,Low,Log_Returns,EMA_10,RSI,MACD,Signal_Line
2025-01-29,239.36,45486100,234.12,239.855,234.01,-0.004606180414897476,239.36,53.24271844660191,0.0,0.0
2025-01-28,238.26,75707570,230.85,240.19,230.81,-0.004606180414897476,239.16,53.24271844660191,-0.08774928774926138,-0.017549857549852277
2025-01-27,229.86,94863420,224.02,232.15,223.98,-0.03589208643060244,237.46909090909088,53.24271844660191,-0.8255842079203717,-0.17915672762395618
2025-01-24,222.78,54697910,224.78,225.63,221.41,-0.03128569052356895,234.79834710743796,53.24271844660191,-1.9590379578216925,-0.5351329736635035
2025-01-23,223.66,60234760,224.74,227.03,222.3,0.0039423041829984625,232.77319308790376,53.24271844660191,-2.7545468734672625,-0.9790157536242553
2025-01-22,223.83,64126500,219.79,224.12,219.79,0.0007597935514904435,231.14715798101219,53.24271844660191,-3.3328567432924956,-1.4497839515579036
2025-01-21,222.64,98070430,224.0,224.42,219.38,-0.005330717933897448,229.6004019844645,53.24271844660191,-3.8428960231465794,-1.928406365875639
2025-01-17,229.98,68488300,232.115,232.29,228.48,0.03243623140288333,229.66941980547094,53.24271844660191,-3.6131786951330866,-2.2653608317271283
2025-01-16,228.26,71759050,237.35,238.01,228.03,-0.0075070184950647234,229.41316165902165,53.24271844660191,-3.529232883212188,-2.5181352420241403
2025-01-15,237.87,39831970,234.635,238.96,234.43,0.0412389758269633,230.95076863010863,53.24271844660191,-2.6566345076820426,-2.545835095155721
2025-01-14,233.28,39435290,234.75,236.12,232.472,-0.019484857132123914,231.37426524281614,53.24271844660191,-2.3088536207830828,-2.4984388002811935
2025-01-13,234.4,49630730,233.53,234.67,229.72,0.004789608882564293,231.92439883503138,53.24271844660191,-1.9207192664231343,-2.3828948935095817
2025-01-10,236.85,61710860,240.01,240.16,233.0,0.010397971666903295,232.81996268320748,53.24271844660191,-1.3992952649568338,-2.1861749677990323
2025-01-08,242.7,37628940,241.92,243.7123,240.05,0.02439908336279497,234.61633310444248,53.24271844660191,-0.508159135432436,-1.850571801325713
2025-01-07,242.21,40855960,242.98,245.55,241.35,-0.0020209942743204916,235.99699981272565,52.74091171379111,0.15672711004035023,-1.4491120190525006
2025-01-06,245.0,45045570,244.31,247.33,243.2,0.011453092086491739,237.63390893768462,56.2779433681073,0.89842742076641,-0.9796041310887185
2025-01-03,243.36,40244110,243.36,244.18,241.89,-0.006716382033744207,238.67501640356014,64.38618925831202,1.3384669528649908,-0.5159899142979767
2025-01-02,243.85,55740730,248.93,249.1,241.8201,0.002011453645078721,239.61592251200375,76.12199355318621,1.7070624044765452,-0.07137945054307232
2024-12-31,250.42,39480720,252.44,253.28,249.43,0.02658622608474007,241.58030023709395,79.07431551499349,2.500496876200941,0.44299581480573036
2024-12-30,252.2,35557540,252.23,253.5,250.75,0.0070829152900175555,243.51115473944049,79.7816502204493,3.235632181669331,1.0015230881784505
2024-12-27,255.59,42355320,257.83,258.7,253.06,0.013352174576538381,245.70730842317857,83.0624122014851,4.045146940293648,1.6102478586014901
2024-12-26,259.02,27262980,258.19,260.1,257.63,0.013330680688083478,248.12779780078245,81.62020905923349,4.90690184303017,2.269578655487226
2024-12-24,258.2,23234710,255.49,258.21,255.29,-0.0031708003828989496,249.95910729154926,83.25188804975572,5.4607337258803454,2.90780966956585
2024-12-23,255.27,40858770,254.77,255.65,253.45,-0.011412669882966388,250.9247241476312,72.69170579029742,5.598684816707362,3.4459846989941525
2024-12-20,254.49,147495300,248.04,255.0,245.69,-0.0030602660418225453,251.57295612078914,80.71242397914867,5.58074125747828,3.872936010690978
2024-12-19,249.79,60882260,247.5,252.0,247.0949,-0.018640977623199297,251.24878228064563,70.19155077407508,5.128155947455781,4.123979998043939
2024-12-18,248.05,56774100,252.16,254.28,247.74,-0.006990226117495927,250.6671855023464,64.97326203208561,4.576322374675129,4.214448473370178
2024-12-17,253.48,51356360,250.08,253.83,249.78,0.021654585708258237,251.17860632010158,64.57544618712822,4.524984705121341,4.2765557197204105
2024-12-16,251.04,51694750,247.99,251.38,247.65,-0.00967263547059373,251.1534051709922,61.34086822501927,4.238552232335621,4.268955022243453
2024-12-13,248.13,33155290,247.815,249.2902,246.24,-0.011659486612797714,250.6036951399027,54.0076824583867,3.7336999846278616,4.161904014720335
2024-12-12,247.96,32777530,246.89,248.74,245.68,-0.0006853595382061083,250.12302329628403,56.12027674294839,3.2820499331801614,3.9859331984123005
2024-12-11,246.49,45205810,247.96,250.8,246.2601,-0.005946018125193948,249.46247360605057,53.42323651452285,2.773525819559552,3.743451722641751
2024-12-10,247.77,36914810,246.89,248.21,245.34,0.005179471782210665,249.1547511322232,46.017433122933596,2.4456106214857414,3.4838835024105492
2024-12-09,246.75,44649230,241.83,247.24,241.75,-0.004125218177144354,248.71752365363716,41.61796370347586,2.0794592768810958,3.2029986573046587
2024-12-06,242.84,36870620,242.905,244.63,242.08,-0.015972888051357607,247.64888298933948,30.69936421435054,1.4569821917705497,2.853795364197837
2024-12-05,243.04,40033880,243.99,244.54,242.13,0.0008232485852294848,246.81090426400502,23.187919463087198,0.9686371001110388,2.4767637113804772
2024-12-04,243.01,44383940,242.87,244.11,241.25,-0.00012344409027090854,246.11983076145864,23.81937263012749,0.5725987849918965,2.095930726102761
2024-12-03,242.65,38861020,239.81,242.76,238.9,-0.0014825189059665003,245.48895244119342,26.13464447806348,0.22706906477046118,1.7221583938363012
2024-12-02,239.59,48137100,237.27,240.79,237.16,-0.012690946707956566,244.41641563370368,24.05988857938712,-0.29033534924656124,1.319659645219729
2024-11-29,237.33,28481380,234.805,237.81,233.97,-0.00947755144185386,243.12797642757573,26.293759512937555,-0.872685413228595,0.8811906335300642
2024-11-27,234.93,33498440,234.465,235.69,233.8101,-0.010163980270458702,241.6374352589256,25.64959168522637,-1.5104504444028066,0.4028624179434901
2024-11-26,235.06,45986190,233.33,235.57,233.33,0.0005532032737520827,240.44153793912093,7.43992606284651,-1.9825404210275508,-0.07421814985071812
2024-11-25,232.87,90152830,231.46,233.245,229.74,-0.009360442759563695,239.06489467746258,7.526881720430069,-2.5045192868044808,-0.5602783772414707
2024-11-22,229.87,38168250,228.06,230.7199,228.06,-0.012966426208818698,237.39309564519664,7.49534450651764,-3.1242517966091157,-1.0730730611149997
